,user_id,screen_name,created_time,id_created_time,followers_count,friends_count,text,lang
0,23046512,SuwanInpang,Mon Jul 22 07:00:11 +0000 2019,Fri Mar 06 09:02:03 +0000 2009,442,236,Is the 2012 Mercedes Benz SLS AMG supercar WORTHY? https://t.co/VEYrhmLOrs https://t.co/6dvGmL9hK2,en
1,1139969352965525504,LoveOlayinka,Mon Jul 22 07:00:09 +0000 2019,Sat Jun 15 18:54:08 +0000 2019,164,145,"RT @opydoc_: Dressing good and looking dope even while you are struggling is not a ""fake life""   It is better than having a Benz online and…",en
2,401216487,izzatyrafiq,Mon Jul 22 07:00:05 +0000 2019,Sun Oct 30 07:01:18 +0000 2011,3433,560,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
3,601707171,adlnys,Mon Jul 22 07:00:02 +0000 2019,Thu Jun 07 06:44:29 +0000 2012,861,550,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
4,4722356716,anjiee_,Mon Jul 22 07:00:01 +0000 2019,Wed Jan 06 06:50:50 +0000 2016,3060,3067,"RT @opydoc_: Dressing good and looking dope even while you are struggling is not a ""fake life""   It is better than having a Benz online and…",en
5,859408750225932290,khairinahanis,Mon Jul 22 07:00:00 +0000 2019,Tue May 02 14:06:27 +0000 2017,37,44,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
6,863166212,qylv_,Mon Jul 22 07:00:00 +0000 2019,Fri Oct 05 14:43:34 +0000 2012,2445,1140,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
7,4834259224,daimeeend,Mon Jul 22 06:59:52 +0000 2019,Fri Jan 22 04:37:59 +0000 2016,208,96,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
8,796918066739195904,nrlalyahmdn,Mon Jul 22 06:59:35 +0000 2019,Fri Nov 11 03:30:47 +0000 2016,191,138,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
9,168579311,SyeiraSyhrh,Mon Jul 22 06:59:29 +0000 2019,Tue Jul 20 08:08:16 +0000 2010,1085,589,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
11,2408642562,sellahrashid,Mon Jul 22 06:59:23 +0000 2019,Mon Mar 24 09:02:24 +0000 2014,338,225,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
12,980780411159691264,aly4smawi,Mon Jul 22 06:59:21 +0000 2019,Mon Apr 02 12:14:06 +0000 2018,68,160,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
13,857518488780328961,harithdan24,Mon Jul 22 06:59:14 +0000 2019,Thu Apr 27 08:55:14 +0000 2017,33,79,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
14,139233667,ihuzaifi,Mon Jul 22 06:59:11 +0000 2019,Sun May 02 00:25:51 +0000 2010,2121,1554,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
15,608097006,teyhanajwa,Mon Jul 22 06:59:10 +0000 2019,Thu Jun 14 10:18:50 +0000 2012,1467,648,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
16,845946810292162561,narvanamusic,Mon Jul 22 06:59:00 +0000 2019,Sun Mar 26 10:33:31 +0000 2017,1000,1000,"RT @opydoc_: Dressing good and looking dope even while you are struggling is not a ""fake life""   It is better than having a Benz online and…",en
17,730001938427740160,yohansgurl,Mon Jul 22 06:58:45 +0000 2019,Tue May 10 11:49:59 +0000 2016,137,94,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
19,405576787,ZettyZulkeflii,Mon Jul 22 06:58:35 +0000 2019,Sat Nov 05 14:15:15 +0000 2011,926,453,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
20,3184608726,princesstejaa,Mon Jul 22 06:58:24 +0000 2019,Mon May 04 01:41:30 +0000 2015,104,83,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
21,890174664109981697,fuaddotha,Mon Jul 22 06:58:24 +0000 2019,Wed Jul 26 11:39:13 +0000 2017,246,241,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
23,1909909638,haqifaysxx,Mon Jul 22 06:58:12 +0000 2019,Fri Sep 27 03:27:39 +0000 2013,533,467,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
